,score,algorithm,file,runtime,params_dict,size,nr_entries,nr_entries_original,nr_particles,nr_timesteps,nr_clusters,nr_entries_binned,nr_entries_original_binned
76,0.10321664187950289,"HDBSCAN, stddv",reynolds_100_90.csv,0.009581327438354492,{},3000,700,900,7,100,2,0,800
77,0.5790741252892542,"Affinity, stddv",reynolds_100_90.csv,0.00957942008972168,{},3000,700,900,7,100,2,0,800
78,1.0,"ST_HDBSCAN, opt.",reynolds_100_90.csv,0.021718502044677734,"{'n_clusters': 2, 'threshold': 0.3, 'eps2': 5}",3000,700,900,7,100,2,0,800
79,-0.0009025124923100372,"ST_Spectral, opt.",reynolds_100_90.csv,0.07210969924926758,"{'n_clusters': 2, 'eps2': 5}",3000,700,900,7,100,2,0,800
80,1.0,"Spectral, delta",couzin_100_16.csv,0.008950948715209961,{'cluster_count': 2},3000,2400,2800,24,100,2,800,800
81,0.6572556986603639,"HDBSCAN, delta",couzin_100_16.csv,0.008052349090576172,{},3000,2400,2800,24,100,2,800,800
82,0.8638231665185873,"Affinity, delta",couzin_100_16.csv,0.008346080780029297,{},3000,2400,2800,24,100,2,800,800
83,1.0,"Spectral, delta",couzin_100_16.csv,0.008473634719848633,{'cluster_count': 2},3000,2400,2800,24,100,2,800,800
84,0.6572556986603639,"HDBSCAN, delta",couzin_100_16.csv,0.007227659225463867,{},3000,2400,2800,24,100,2,800,800
85,0.8638231665185873,"Affinity, delta",couzin_100_16.csv,0.007443428039550781,{},3000,2400,2800,24,100,2,800,800
86,0.6574404077356941,"Spectral, delta+1std",couzin_100_16.csv,0.013206958770751953,{'cluster_count': 2},3000,2400,2800,24,100,2,800,800
87,0.6572556986603639,"HDBSCAN, delta+1std",couzin_100_16.csv,0.012520551681518555,{},3000,2400,2800,24,100,2,800,800
88,0.8638231665185873,"Affinity, delta+1std",couzin_100_16.csv,0.012930154800415039,{},3000,2400,2800,24,100,2,800,800
89,1.0,"Spectral, delta",couzin_100_16.csv,0.011951208114624023,{'cluster_count': 2},3000,2400,2800,24,100,2,800,800
90,0.6572556986603639,"HDBSCAN, delta",couzin_100_16.csv,0.009313821792602539,{},3000,2400,2800,24,100,2,800,800
91,0.8638231665185873,"Affinity, delta",couzin_100_16.csv,0.009629964828491211,{},3000,2400,2800,24,100,2,800,800
92,0.6574404077356941,"Spectral, delta+2std",couzin_100_16.csv,0.016595840454101562,{'cluster_count': 2},3000,2400,2800,24,100,2,800,800
93,0.6572556986603639,"HDBSCAN, delta+2std",couzin_100_16.csv,0.015033960342407227,{},3000,2400,2800,24,100,2,800,800
94,0.7983298456638352,"Affinity, delta+2std",couzin_100_16.csv,0.018007278442382812,{},3000,2400,2800,24,100,2,800,800
95,1.0,"Spectral, stddv",couzin_100_16.csv,0.009431838989257812,{'cluster_count': 2},3000,2400,2800,24,100,2,800,800
96,0.6572556986603639,"HDBSCAN, stddv",couzin_100_16.csv,0.007001399993896484,{},3000,2400,2800,24,100,2,800,800
97,0.8638231665185873,"Affinity, stddv",couzin_100_16.csv,0.007726430892944336,{},3000,2400,2800,24,100,2,800,800
98,0.454035140563383,"ST_HDBSCAN, opt.",couzin_100_16.csv,0.32012248039245605,"{'n_clusters': 2, 'threshold': 0.3, 'eps2': 5}",3000,2400,2800,24,100,2,800,800
99,-0.00034416883454482425,"ST_Spectral, opt.",couzin_100_16.csv,0.6550600528717041,"{'n_clusters': 2, 'eps2': 5}",3000,2400,2800,24,100,2,800,800
100,1.0,"Spectral, delta",couzin_100_1.csv,0.008184671401977539,{'cluster_count': 2},3000,900,1200,9,100,2,800,800
101,1.0,"HDBSCAN, delta",couzin_100_1.csv,0.0066454410552978516,{},3000,900,1200,9,100,2,800,800
102,0.7682097831834416,"Affinity, delta",couzin_100_1.csv,0.00920724868774414,{},3000,900,1200,9,100,2,800,800
103,1.0,"Spectral, delta",couzin_100_1.csv,0.007275581359863281,{'cluster_count': 2},3000,900,1200,9,100,2,800,800
104,1.0,"HDBSCAN, delta",couzin_100_1.csv,0.005956411361694336,{},3000,900,1200,9,100,2,800,800
105,0.7682097831834416,"Affinity, delta",couzin_100_1.csv,0.009311914443969727,{},3000,900,1200,9,100,2,800,800
106,1.0,"Spectral, delta+1std",couzin_100_1.csv,0.012130975723266602,{'cluster_count': 2},3000,900,1200,9,100,2,800,800
107,1.0,"HDBSCAN, delta+1std",couzin_100_1.csv,0.011110305786132812,{},3000,900,1200,9,100,2,800,800
108,0.7682097831834416,"Affinity, delta+1std",couzin_100_1.csv,0.013675928115844727,{},3000,900,1200,9,100,2,800,800
109,1.0,"Spectral, delta",couzin_100_1.csv,0.008496761322021484,{'cluster_count': 2},3000,900,1200,9,100,2,800,800
110,1.0,"HDBSCAN, delta",couzin_100_1.csv,0.006214618682861328,{},3000,900,1200,9,100,2,800,800
111,0.7682097831834416,"Affinity, delta",couzin_100_1.csv,0.009330987930297852,{},3000,900,1200,9,100,2,800,800
112,1.0,"Spectral, delta+2std",couzin_100_1.csv,0.012930870056152344,{'cluster_count': 2},3000,900,1200,9,100,2,800,800
113,1.0,"HDBSCAN, delta+2std",couzin_100_1.csv,0.011368513107299805,{},3000,900,1200,9,100,2,800,800
114,0.7682097831834416,"Affinity, delta+2std",couzin_100_1.csv,0.013923406600952148,{},3000,900,1200,9,100,2,800,800
115,1.0,"Spectral, stddv",couzin_100_1.csv,0.010619640350341797,{'cluster_count': 2},3000,900,1200,9,100,2,800,800
116,1.0,"HDBSCAN, stddv",couzin_100_1.csv,0.008648395538330078,{},3000,900,1200,9,100,2,800,800
117,1.0,"Affinity, stddv",couzin_100_1.csv,0.009081363677978516,{},3000,900,1200,9,100,2,800,800
118,0.4152530929016563,"ST_HDBSCAN, opt.",couzin_100_1.csv,0.03258514404296875,"{'n_clusters': 2, 'threshold': 0.3, 'eps2': 5}",3000,900,1200,9,100,2,800,800
119,0.0009859336340662884,"ST_Spectral, opt.",couzin_100_1.csv,0.08004379272460938,"{'n_clusters': 2, 'eps2': 5}",3000,900,1200,9,100,2,800,800
120,1.0,"Spectral, delta",calovi_300_75.csv,0.008340835571289062,{'cluster_count': 2},3000,2100,2100,7,300,2,800,800
121,0.0,"HDBSCAN, delta",calovi_300_75.csv,0.006688117980957031,{},3000,2100,2100,7,300,2,800,800
122,0.6796313422125446,"Affinity, delta",calovi_300_75.csv,0.00745844841003418,{},3000,2100,2100,7,300,2,800,800
123,1.0,"Spectral, delta",calovi_300_75.csv,0.007021427154541016,{'cluster_count': 2},3000,2100,2100,7,300,2,800,800
